Beginner,Easy,Medium,Hard,Advanced
dog,book,I see a cat.,I love my family.,I go to school every day.
cat,look,The dog barks.,I have a great teacher.,I have a lot of hobbies.
hat,cook,Mom bakes a cake.,I like to play games.,I like to play with friends.
sun,nose,Dad mows the lawn.,I enjoy playing sports.,I learn new things every day.
fun,rainbow,I love ice cream.,I have many friends.,I love spending time with family.
car,mouth,The sun is shining.,I go on adventures.,I like to go on trips.
star,ears,I go to school.,I read books every day.,I watch educational shows.
ball,roof,I like to play.,I learn new things at school.,I love reading books.
wall,loop,I have a best friend.,I play with my pets.,I like to play sports.
fall,pool,I ride my bike.,I watch movies with my family.,I have a pet dog.
tree,moon,I have a pet fish.,I like to draw pictures.,I enjoy playing video games.
bee,spoon,I brush my teeth.,I go to the park.,I do well in school.
sea,noon,I play with blocks.,I like to explore nature.,I help with chores at home.
me,dune,I draw with crayons.,I help with cooking.,I like to try new foods.
we,tune,I sing a song.,I listen to music and dance.,I go to the park with friends.
he,soon,I dance to music.,I love my bedroom.,I love listening to music.
she,boon,I catch a ball.,I visit my grandparents.,I play musical instruments.
key,June,I jump rope.,I swim in the ocean.,I like to learn about science.
see,boon,I play with toys.,I like to learn new skills.,I enjoy doing art projects.
three,room,I swim in the pool.,I go on bike rides.,I like to be active.
four,zoom,I go on a hike.,I love to travel.,I love animals.
five,broom,I play outside.,I take care of my pets.,I like to explore new places.
six,boom,I read a book.,I do well in school.,I love learning new skills.
seven,groom,I watch TV.,I love to play with my friends.,I have a fun summer vacation.
eight,school,I eat breakfast.,I play video games.,I go to the library.
nine,cool,I drink milk.,I watch educational shows.,I love spending time outdoors.
ten,rule,I have a nap.,I learn about science.,I like to play with my pets.
red,fuel,I play with my cat.,I do well in art class.,I watch exciting movies.
blue,junebug,I help with chores.,I like to try new foods.,I like to learn about history.
green,moonbeam,I listen to music.,I play musical instruments.,I go to the beach.
yellow,butterfly,I learn new things.,,
